sep=;
100;200;300;400;500;600;700;800;900;1000;
283;267;89;155;531;909;175;219;265;613;
941;413;543;311;477;877;1359;1183;1317;3251;
2263;579;305;1823;895;2071;1773;479;325;325;
2565;485;1985;347;4073;2985;759;339;1193;2715;
2721;735;2917;2659;1075;3339;5831;427;5123;4483;
1215;1245;4477;5929;3495;3457;4121;1203;8229;2451;
2797;2131;2563;15303;579;3307;1789;1615;957;10265;
645;12391;6611;16351;5411;1323;1207;3815;6185;8579;
1933;2853;18051;4885;1893;17571;4875;22327;19117;1491;
3151;2941;2571;6711;3977;2001;1239;3121;4783;10585;
